date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2023-10-21,1604.86,1644.6,1593.24,1629.44,1644.6,6.0,-0.9218046941505446,1542.75,4.0,5.619186517582244,1865.88,-12.671768816858537,1622.28,0.4413541435510567
2023-10-22,1629.44,1668.32,1622.28,1664.18,1668.32,6.0,-0.24815383139924432,1542.75,3.0,7.871009560849138,1865.88,-10.8099127489442,1658.04,0.3703167595474235
2023-10-23,1664.18,1799.36,1658.04,1766.32,1799.36,6.0,-1.8362084296638788,1542.75,2.0,14.491654513044882,1865.88,-5.335820095611731,1745.3,1.2043774709219035
2023-10-24,1766.32,1854.43,1746.5,1785.2,1854.43,6.0,-3.7332226074858585,1542.75,1.0,15.715443202074223,1865.88,-4.323965099577682,1745.3,2.286139918638635
2023-10-25,1785.2,1817.52,1760.54,1787.67,1854.43,5.0,-3.600028040961373,1542.75,0.0,15.875546912980074,1865.88,-4.191587883465176,1745.3,2.4276628659829322
2023-10-26,1787.67,1865.88,1763.34,1803.72,1865.88,6.0,-3.3314039488070013,1562.17,0.0,15.462465672750081,1830.35,-1.4549129947824122,1745.3,3.347275540021777
2023-10-27,1803.72,1804.16,1745.3,1779.98,1865.88,5.0,-4.603725855896418,1593.24,0.0,11.72077025432452,1857.88,-4.192951105561182,1763.3,0.9459536097090718
2023-10-28,1779.98,1803.03,1771.67,1776.59,1865.88,4.0,-4.78540956545974,1622.28,0.0,9.511921493207089,1874.87,-5.241963442798699,1763.3,0.75370044802359
2023-10-29,1776.59,1811.49,1763.3,1795.69,1865.88,3.0,-3.7617638862091907,1658.04,0.0,8.301971001905871,1874.87,-4.223226143679287,1777.57,1.0193691387681
2023-10-30,1795.69,1830.35,1778.41,1809.85,1865.88,2.0,-3.0028726391836664,1745.3,3.0,3.6985045550908127,1874.87,-3.467973779515379,1777.57,1.8159622405868672
2023-10-31,1809.85,1819.86,1782.09,1815.45,1865.88,1.0,-2.702746157309155,1745.3,2.0,4.019366298057646,1913.61,-5.129571856334356,1777.57,2.130999060515204
2023-11-01,1815.45,1857.88,1784.08,1847.63,1865.88,0.0,-0.9780907668231611,1745.3,1.0,5.863175385320584,1915.3,-3.533127969508685,1777.57,3.941335643603356
2023-11-02,1847.63,1874.87,1785.57,1801.34,1874.87,6.0,-3.921871916452873,1745.3,0.0,3.2109092992608703,1915.3,-5.9499817261003525,1777.57,1.3372187874457817
2023-11-03,1801.34,1835.48,1777.57,1833.71,1874.87,5.0,-2.195352211086628,1763.3,1.0,3.9930811546532117,1915.3,-4.259907064167489,1825.2,0.4662502739425811
2023-11-04,1833.71,1870.53,1825.2,1857.23,1874.87,4.0,-0.940865233322837,1763.3,0.0,5.3269437985595225,2131.61,-12.871960630696988,1847.68,0.5168643921025261
2023-11-05,1857.23,1913.61,1847.68,1893.28,1913.61,6.0,-1.062389933162971,1777.57,4.0,6.509448291769103,2136.09,-11.367030415385127,1851.17,2.2747775731024107
2023-11-06,1893.28,1915.3,1870.95,1901.65,1915.3,6.0,-0.7126820863572215,1777.57,3.0,6.980315824411987,2136.09,-10.975192992804612,1851.17,2.726924053436476
2023-11-07,1901.65,1907.78,1851.17,1886.12,1915.3,5.0,-1.5235211194068847,1777.57,2.0,6.106651214860735,2136.09,-11.702222284641575,1873.92,0.6510416666666569
2023-11-08,1886.12,1905.07,1873.92,1889.05,1915.3,4.0,-1.3705424737639014,1777.57,1.0,6.271482979573238,2136.09,-11.565055779484954,1883.26,0.30744559965166596
2023-11-09,1889.05,2131.61,1883.26,2121.13,2131.61,6.0,-0.4916471587204046,1777.57,0.0,19.327508902603004,2136.09,-0.7003450229157028,1930.94,9.849606927196083
2023-11-10,2121.13,2136.09,2066.23,2078.52,2136.09,6.0,-2.6951111610465928,1825.2,0.0,13.87902695595003,2118.47,-1.8857949369120084,1930.94,7.642909670937467
2023-11-11,2078.52,2090.87,2032.5,2053.53,2136.09,5.0,-3.8650056879625834,1847.68,0.0,11.140998441288543,2118.47,-3.0654198548952594,1930.36,6.380675107233899
2023-11-12,2053.53,2066.66,2014.15,2045.4,2136.09,4.0,-4.245607628892043,1851.17,1.0,10.492283258695851,2118.47,-3.4491873852355575,1906.37,7.292917954017332
2023-11-13,2045.4,2118.47,2030.13,2054.32,2136.09,3.0,-3.828022227527865,1851.17,0.0,10.974140678597864,2092.27,-1.8138194401296115,1906.37,7.760822925245376
2023-11-14,2054.32,2065.29,1930.94,1979.66,2136.09,2.0,-7.323193311143259,1873.92,0.0,5.6427168715847,2092.27,-5.382192546851023,1906.37,3.844479298352376
2023-11-15,1979.66,2063.09,1967.9,2059.63,2136.09,1.0,-3.579437195998297,1883.26,0.0,9.365143421513764,2092.27,-1.5600281034474457,1906.37,8.039362767983143
2023-11-16,2059.63,2092.27,1930.36,1961.54,2136.09,0.0,-8.171472175797845,1930.36,6.0,1.615242752647178,2067.57,-5.128242332786807,1906.37,2.8939817559025833
2023-11-17,1961.54,1991.18,1906.37,1961.61,2118.47,2.0,-7.404400345532385,1906.37,6.0,2.897653655901006,2092.34,-6.248028523088993,1918.15,2.265724786904038
2023-11-18,1961.61,1972.15,1918.15,1963.67,2118.47,1.0,-7.30716035629486,1906.37,5.0,3.005712427283276,2092.34,-6.149574160987223,1930.15,1.736652591767478
2023-11-19,1963.67,2016.3,1944.72,2012.46,2118.47,0.0,-5.0040831354704,1906.37,4.0,5.565026726186425,2133.82,-5.6874525498870625,1930.15,4.2644354065746155
2023-11-20,2012.46,2067.57,1995.32,2022.62,2092.27,2.0,-3.3289202636371065,1906.37,3.0,6.097976783100868,2133.82,-5.211311169639439,1930.15,4.790819366370479
2023-11-21,2022.62,2035.52,1932.84,1933.76,2092.27,1.0,-7.575982067324007,1906.37,2.0,1.4367620136699644,2133.82,-9.375673674443025,1930.15,0.1870320959510867
2023-11-22,1933.76,2092.34,1930.15,2064.08,2092.34,6.0,-1.350640909221265,1906.37,1.0,8.272790696454521,2133.82,-3.2683169152037297,1986.06,3.9283808142754992
2023-11-23,2064.08,2088.81,2040.7,2062.63,2092.34,5.0,-1.419941309729778,1906.37,0.0,8.196729910772842,2133.82,-3.336270163368984,1986.06,3.855371942438807
2023-11-24,2062.63,2133.82,2059.8,2082.24,2133.82,6.0,-2.417261062320176,1918.15,0.0,8.554596877199367,2095.12,-0.6147619229447531,1986.06,4.8427539953475645
2023-11-25,2082.24,2091.51,2067.12,2084.06,2133.82,5.0,-2.3319680197954944,1930.15,3.0,7.973991658679369,2095.12,-0.5278933903547265,1986.06,4.934392717239157
2023-11-26,2084.06,2095.12,2037.74,2063.01,2133.82,4.0,-3.318461725918772,1930.15,2.0,6.883402844338529,2111.43,-2.293232548557121,1986.06,3.8745053019546374
2023-11-27,2063.01,2071.85,1986.06,2027.67,2133.82,3.0,-4.974646408787999,1930.15,1.0,5.05245706292257,2189.14,-7.375955854810556,1995.65,1.6044897652393946
2023-11-28,2027.67,2075.82,1995.65,2049.1,2133.82,2.0,-3.9703442652145093,1930.15,0.0,6.162733466310899,2217.45,-7.5920539358271855,2019.91,1.4451138912129662
2023-11-29,2049.1,2075.4,2019.91,2029.17,2133.82,1.0,-4.904349945168763,1986.06,4.0,2.1706292861242926,2273.89,-10.762174071744887,2021.3,0.38935338643447875
2023-11-30,2029.17,2055.28,2021.3,2052.93,2133.82,0.0,-3.790853961440062,1986.06,3.0,3.366967765324305,2309.38,-11.104712087226885,2046.0,0.3387096774193468
2023-12-01,2052.93,2111.43,2046.0,2088.21,2111.43,6.0,-1.0997286199400313,1986.06,2.0,5.143349143530411,2312.02,-9.680279582356551,2087.29,0.04407629030944779
2023-12-02,2088.21,2189.14,2087.29,2165.6,2189.14,6.0,-1.0753081118612773,1986.06,1.0,9.04000886176651,2383.16,-9.129055539703584,2150.33,0.7101235624299518
2023-12-03,2165.6,2217.45,2150.33,2193.78,2217.45,6.0,-1.067442332408831,1986.06,0.0,10.458898522703254,2391.56,-8.269915870812346,2189.0,0.21836455002285063
2023-12-04,2193.78,2273.89,2192.42,2243.25,2273.89,6.0,-1.347470634023628,1995.65,0.0,12.406985192794323,2403.29,-6.6592046735932815,2189.0,2.4783005938784837
2023-12-05,2243.25,2309.38,2189.0,2293.88,2309.38,6.0,-0.6711758134217841,2019.91,0.0,13.56347560039804,2403.29,-4.552509268544364,2220.51,3.3041958829277904
2023-12-06,2293.88,2312.02,2220.51,2232.96,2312.02,6.0,-3.4195205923824163,2021.3,0.0,10.471478751298674,2403.29,-7.087367733398795,2133.47,4.663295007663583
2023-12-07,2232.96,2383.16,2222.53,2356.77,2383.16,6.0,-1.107353262055417,2046.0,0.0,15.189149560117302,2403.29,-1.9356798388875243,2133.47,10.466516988755417
2023-12-08,2356.77,2391.56,2339.41,2358.94,2391.56,6.0,-1.3639632708357678,2087.29,0.0,13.014482894087553,2403.29,-1.845386948724453,2133.47,10.568229222815425
2023-12-09,2358.94,2403.29,2330.43,2341.13,2403.29,6.0,-2.5864544020904616,2150.33,0.0,8.873056693623777,2377.41,-1.5260304280708732,2133.47,9.73343895156718
2023-12-10,2341.13,2377.41,2322.8,2352.31,2403.29,5.0,-2.121258774430053,2189.0,1.0,7.460484239378709,2354.9,-0.10998343878721582,2133.47,10.257467880963883
2023-12-11,2352.31,2354.9,2133.47,2224.1,2403.29,4.0,-7.45602902687566,2133.47,6.0,4.248009111916273,2332.24,-4.63674407436627,2145.57,3.6600996471799916
2023-12-12,2224.1,2242.96,2165.58,2202.33,2403.29,3.0,-8.361870602382568,2133.47,5.0,3.2276057315078313,2332.24,-5.570181456453875,2145.57,2.645450859212226
2023-12-13,2202.33,2284.2,2145.57,2260.72,2403.29,2.0,-5.932284493340386,2133.47,4.0,5.96446165167544,2332.24,-3.066579768805954,2115.85,6.8468936833896485
2023-12-14,2260.72,2332.24,2231.57,2316.03,2403.29,1.0,-3.6308560348522136,2133.47,3.0,8.556951820274033,2318.06,-0.08757322933831503,2115.85,9.460973131365659
2023-12-15,2316.03,2318.06,2201.14,2220.32,2403.29,0.0,-7.6133134161919624,2133.47,2.0,4.070832962263372,2265.11,-1.9773874116488808,2115.85,4.937495569156615
2023-12-16,2220.32,2261.92,2210.47,2227.14,2377.41,0.0,-6.3207440029275554,2133.47,1.0,4.390499983594805,2279.1,-2.279847308147955,2115.85,5.25982465675733
2023-12-17,2227.14,2245.8,2190.85,2194.84,2354.9,0.0,-6.796891587753192,2133.47,0.0,2.8765344720104036,2343.73,-6.35269420965725,2115.85,3.7332514119621067
2023-12-18,2194.84,2222.91,2115.85,2218.75,2332.24,2.0,-4.866137275752058,2115.85,6.0,4.8632937117470565,2343.73,-5.332525504217637,2135.19,3.9134690589596217
2023-12-19,2218.75,2253.93,2135.19,2177.38,2332.24,1.0,-6.6399684423558325,2115.85,5.0,2.908051137840594,2343.73,-7.097660566703498,2157.77,0.9088086311330738
2023-12-20,2177.38,2265.11,2157.77,2202.03,2332.24,0.0,-5.58304462662503,2115.85,4.0,4.07306756150012,2343.73,-6.045918258502465,2183.31,0.857413743352994
2023-12-21,2202.03,2279.1,2183.31,2239.88,2318.06,0.0,-3.3726478175715826,2115.85,3.0,5.861946735354595,2343.73,-4.430971144287095,2174.17,3.0223027638133186
2023-12-22,2239.88,2343.73,2231.32,2326.53,2343.73,6.0,-0.7338729290489868,2115.85,2.0,9.95722759174801,2393.37,-2.7927148748417374,2174.17,7.007731686114707
